trans_id	strand	gene_id	gene_name	gene_start	gene_stop	trans_start	trans_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
ENST00000052569	-	ENSG00000047932	GOPC	117560269	117602528	241	1605	1365	240	2985	4590
ENST00000052754	-	ENSG00000011465	DCN	91140484	91183123	503	1582	1080	502	5574	7156
ENST00000053243	+	ENSG00000048462	TNFRSF17	11965107	11968068	219	773	555	218	221	994
ENST00000053468	-	ENSG00000048544	MRPS10	42206801	42217865	17	622	606	16	1488	2110
ENST00000053867	+	ENSG00000030582	GRN	44345086	44353102	257	2038	1782	256	304	2342
ENST00000054666	+	ENSG00000049245	VAMP3	7771269	7781432	116	418	303	115	1787	2205
ENST00000054950	+	ENSG00000049449	RCN1	32090904	32105755	294	1289	996	293	1283	2572
ENST00000055077	-	ENSG00000049541	RFC2	74231537	74254444	62	1126	1065	61	569	1695
ENST00000055335	+	ENSG00000049769	PPP1R3F	49269854	49288095	17	2416	2400	16	1005	3421
ENST00000055682	-	ENSG00000050030	KIAA2022	74732849	74925447	613	5163	4551	612	6556	11719
ENST00000056217	+	ENSG00000050327	ARHGEF5	144355340	144380632	175	4968	4794	174	576	5544
ENST00000056233	+	ENSG00000050344	NFE2L3	26152240	26187125	260	2344	2085	259	1342	3686
ENST00000057513	-	ENSG00000050730	TNIP3	121131408	121164340	216	1193	978	215	1223	2416
ENST00000061240	+	ENSG00000038295	TLL1	165873258	166103895	648	3689	3042	647	3019	6708
ENST00000062104	+	ENSG00000053438	NNAT	37521215	37523693	118	363	246	117	934	1297
ENST00000064571	-	ENSG00000054803	CBLN4	55997440	56005472	1302	1907	606	1301	1117	3024
ENST00000064724	+	ENSG00000013297	CLDN11	170418865	170434099	203	826	624	202	1343	2169
ENST00000064778	-	ENSG00000054965	FAM168A	73400487	73598189	286	1020	735	285	6276	7296
ENST00000064780	+	ENSG00000054967	RELT	73376264	73397472	262	1554	1293	261	1981	3535
ENST00000066544	-	ENSG00000004897	CDC27	47117703	47189266	95	2569	2475	94	3232	5801
ENST00000072644	-	ENSG00000058799	YIPF1	53851733	53889834	392	1312	921	391	546	1858
ENST00000072869	+	ENSG00000133597	ADCK2	140673153	140695121	179	2059	1881	178	318	2377
ENST00000075120	-	ENSG00000059804	SLC2A3	7919230	7936275	242	1732	1491	241	2183	3915
ENST00000075503	-	ENSG00000060140	STYK1	10618939	10674292	522	1790	1269	521	1205	2995
ENST00000078429	+	ENSG00000088256	GNA11	3094410	3124004	243	1322	1080	242	2825	4147
ENST00000078445	+	ENSG00000060566	CREB3L3	4153601	4173054	148	1533	1386	147	1085	2618
ENST00000080059	-	ENSG00000061273	HDAC7	47782722	47819785	1	2976	2976	0	1119	4095
ENST00000081029	+	ENSG00000061794	MRPS35	27710773	27756295	72	1043	972	71	845	1888
ENST00000083182	-	ENSG00000062725	APPBP2	60443149	60526219	289	2046	1758	288	4432	6478
ENST00000084798	-	ENSG00000063180	CA11	48637942	48646312	681	1667	987	680	177	1844
ENST00000085219	+	ENSG00000012124	CD22	35329187	35347355	67	2610	2544	66	658	3268
ENST00000086933	-	ENSG00000063515	GSC2	19148576	19150283	1	618	618	0	415	1033
ENST00000155093	+	ENSG00000067646	ZFY	2935477	2982505	322	2730	2409	321	2509	5239
ENST00000155840	+	ENSG00000053918	KCNQ1	2444991	2849109	109	2139	2031	108	1106	3245
ENST00000155858	-	ENSG00000070985	TRPM5	2404515	2423045	10	3507	3498	9	422	3929
ENST00000155926	+	ENSG00000071575	TRIB2	12716889	12742734	1420	2451	1032	1419	1940	4391
ENST00000156084	-	ENSG00000068308	OTUD5	48922211	48957631	62	1777	1716	61	963	2740
ENST00000156109	-	ENSG00000068394	GPKOW	49113389	49123801	80	1510	1431	79	232	1742
ENST00000156471	-	ENSG00000021776	AQR	34851782	34969839	227	4684	4458	226	5010	9694
ENST00000156626	-	ENSG00000070526	ST6GALNAC1	76624763	76643838	201	2003	1803	200	567	2570
ENST00000156825	-	ENSG00000071655	MBD3	1573596	1592801	171	950	780	170	4568	5518
ENST00000157600	+	ENSG00000071282	LMCD1	8501707	8574673	233	1330	1098	232	7075	8405
ENST00000157812	+	ENSG00000013275	PSMC4	39971005	39981441	199	1455	1257	198	136	1591
ENST00000158009	+	ENSG00000073598	FNDC8	35121579	35130732	116	1090	975	115	298	1388
ENST00000158762	+	ENSG00000072818	ACAP1	7336529	7351478	207	2429	2223	206	83	2512
ENST00000158771	-	ENSG00000072849	DERL2	5471251	5486217	57	776	720	56	3433	4209
ENST00000159060	-	ENSG00000074771	NOX3	155395370	155455903	104	1810	1707	103	232	2042
ENST00000159087	-	ENSG00000074855	ANO8	17323223	17334829	160	3858	3699	159	294	4152
ENST00000160373	-	ENSG00000077063	CTTNBP2	117710651	117873507	93	5084	4992	92	886	5970
ENST00000160382	-	ENSG00000077080	ACTL6B	100643097	100656461	108	1388	1281	107	149	1537
ENST00000161006	-	ENSG00000005001	PRSS22	2852727	2858170	67	1020	954	66	366	1386
ENST00000161559	-	ENSG00000079385	CEACAM1	42507306	42528509	136	1716	1581	135	1803	3519
ENST00000161863	+	ENSG00000047188	YTHDC2	113513683	113595284	214	4506	4293	213	1810	6316
ENST00000162391	+	ENSG00000065970	FOXJ2	8032703	8055503	1146	2870	1725	1145	2653	5523
ENST00000162749	-	ENSG00000067182	TNFRSF1A	6328757	6342114	301	1668	1368	300	555	2223
ENST00000163416	+	ENSG00000066455	GOLGA5	92794231	92839963	257	2452	2196	256	517	2969
ENST00000164024	-	ENSG00000008300	CELSR3	48636469	48662915	282	10220	9939	281	1736	11956
ENST00000164133	+	ENSG00000068971	PPP2R5B	64924671	64934473	623	2116	1494	622	629	2745
ENST00000164139	-	ENSG00000068976	PYGM	64746389	64760297	400	2928	2529	399	270	3198
ENST00000164227	+	ENSG00000069399	BCL3	44748547	44760044	245	1609	1365	244	429	2038
ENST00000164247	+	ENSG00000069424	KCNAB2	6034283	6101179	565	1668	1104	564	2605	4273
ENST00000164305	+	ENSG00000069943	PIGB	55318960	55355648	292	1956	1665	291	216	2172
ENST00000165524	+	ENSG00000071677	PRLH	237566574	237567175	1	264	264	0	0	264
ENST00000165698	-	ENSG00000068615	REEP1	86213993	86337654	145	750	606	144	3107	3857
ENST00000166139	+	ENSG00000070404	FSTL3	676365	683399	60	851	792	59	1691	2542
ENST00000166244	+	ENSG00000070886	EPHA8	22563564	22603594	73	3090	3018	72	1853	4943
ENST00000166345	+	ENSG00000071539	TRIP13	892643	918120	357	1655	1299	356	1017	2672
ENST00000167106	+	ENSG00000071246	VASH1	76762189	76783015	634	1731	1098	633	3997	5728
ENST00000167586	-	ENSG00000186847	KRT14	41582279	41586921	88	1506	1419	87	156	1662
ENST00000167588	-	ENSG00000171431	KRT20	40875941	40885227	43	1317	1275	42	420	1737
ENST00000168148	+	ENSG00000072080	SPP2	234050699	234077134	89	724	636	88	300	1024
ENST00000168216	-	ENSG00000072506	HSD17B10	53431258	53434373	29	814	786	28	146	960
ENST00000168712	-	ENSG00000075388	FGF4	69771016	69775403	320	940	621	319	2293	3233
ENST00000169298	+	ENSG00000073849	ST6GAL1	186930485	187078553	675	1895	1221	674	2750	4645
ENST00000169551	+	ENSG00000075336	TIMM21	74148511	74160530	299	1045	747	298	2050	3095
ENST00000170150	+	ENSG00000078898	BPIFB2	33007600	33023709	196	1572	1377	195	326	1898
ENST00000170168	-	ENSG00000079313	REXO1	1815246	1848463	106	3771	3666	105	820	4591
ENST00000170447	+	ENSG00000075975	MKRN2	12557014	12583713	138	1388	1251	137	1460	2848
ENST00000170564	+	ENSG00000076650	GPATCH1	33080880	33130542	315	3110	2796	314	382	3492
ENST00000171111	-	ENSG00000079999	KEAP1	10486120	10503741	549	2423	1875	548	532	2955
ENST00000171757	+	ENSG00000078589	P2RY10	78945421	78961954	281	1300	1020	280	414	1714
ENST00000171887	-	ENSG00000079308	TNS1	217799789	217944128	454	5661	5208	453	4670	10331
ENST00000172229	+	ENSG00000064300	NGFR	49495293	49515017	126	1409	1284	125	2008	3417
ENST00000173229	+	ENSG00000065320	NTN1	9021542	9244000	108	1922	1815	107	4032	5954
ENST00000173527	+	ENSG00000066583	ISOC1	129094751	129114028	17	913	897	16	1027	1940
ENST00000173898	+	ENSG00000067445	TRO	54920811	54931431	113	4408	4296	112	239	4647
ENST00000174618	-	ENSG00000070444	MNT	2384060	2401118	407	2155	1749	406	2841	4996
ENST00000175091	-	ENSG00000068697	LAPTM4A	20032650	20052028	509	1210	702	508	555	1765
ENST00000175238	+	ENSG00000069206	ADAM7	24441026	24509565	84	2348	2265	83	1019	3367
ENST00000175506	-	ENSG00000070669	ASNS	97852118	97872542	530	2215	1686	529	141	2356
ENST00000175756	+	ENSG00000072135	PTPN18	130356007	130375409	102	1484	1383	101	2185	3669
ENST00000176183	+	ENSG00000069696	DRD4	637293	640706	13	1272	1260	12	103	1375
ENST00000176195	-	ENSG00000070031	SCT	626431	627143	1	366	366	0	0	366
ENST00000176643	+	ENSG00000072210	ALDH3A2	19648526	19677596	447	1904	1458	446	2024	3928
ENST00000176763	-	ENSG00000072786	STK10	172042073	172188386	345	3251	2907	344	2809	6060
ENST00000177694	+	ENSG00000073861	TBX21	47733244	47746119	212	1819	1608	211	753	2572
ENST00000177742	-	ENSG00000074071	MRPS34	1771890	1773150	32	709	678	31	331	1040
ENST00000178638	-	ENSG00000074410	CA12	63321378	63382161	442	1506	1065	441	4907	6413
ENST00000178640	+	ENSG00000137764	MAP2K5	67542709	67807123	628	1974	1347	627	373	2347
ENST00000180166	-	ENSG00000078579	FGF20	16992169	17002181	150	785	636	149	903	1688
ENST00000180173	-	ENSG00000003987	MTMR7	17298030	17413327	36	2018	1983	35	1832	3850
ENST00000181383	-	ENSG00000080618	CPB2	46053186	46105026	18	1289	1272	17	428	1717
ENST00000181796	-	ENSG00000065809	FAM107B	14518560	14774897	235	1155	921	234	2630	3785
ENST00000181839	+	ENSG00000065883	CDK13	39950037	40097134	606	5144	4539	605	2154	7298
ENST00000182290	+	ENSG00000064201	TSPAN32	2302013	2318142	138	1100	963	137	218	1318
ENST00000182527	-	ENSG00000065308	TRAM2	52497402	52576915	1	1113	1113	0	5795	6908
ENST00000183605	+	ENSG00000066405	CLDN18	138010000	138033649	227	1012	786	226	2508	3520
ENST00000184956	-	ENSG00000068097	HEATR6	60043194	60078931	18	3563	3546	17	369	3932
ENST00000185150	+	ENSG00000068912	ERLEC1	53787080	53818819	132	1583	1452	131	850	2433
ENST00000185206	-	ENSG00000112782	CLIC5	45898451	46080395	154	1386	1233	153	4637	6023
ENST00000186436	-	ENSG00000075568	TMEM131	97756340	97995891	230	5881	5652	229	759	6640
ENST00000187397	+	ENSG00000172995	ARPP21	35642165	35794496	457	2895	2439	456	538	3433
ENST00000187762	+	ENSG00000072954	TMEM38A	16661127	16690029	92	991	900	91	1658	2649
ENST00000187879	+	ENSG00000159885	ZNF222	44025363	44033110	163	1518	1356	162	80	1598
ENST00000188312	+	ENSG00000075089	ACTR6	100200087	100224423	766	1956	1191	765	508	2464
ENST00000188790	-	ENSG00000078098	FAP	162170690	162243535	209	2491	2283	208	289	2780
ENST00000190165	+	ENSG00000064218	DMRT3	976964	991731	39	1457	1419	38	726	2183
ENST00000190611	+	ENSG00000079156	OSBPL6	178194649	178402891	377	3181	2805	376	7332	10513
ENST00000192314	+	ENSG00000154252	GAL3ST2	241776825	241804208	132	1328	1197	131	42	1370
ENST00000192788	+	ENSG00000065060	UHRF1BP1	34792080	34877514	172	4494	4323	171	5076	9570
ENST00000193322	-	ENSG00000081087	OSTM1	108041409	108074737	87	1091	1005	86	3376	4467
ENST00000193391	-	ENSG00000081148	IMPG2	101222546	101320560	189	3914	3726	188	4423	8337
ENST00000193403	-	ENSG00000072110	ACTN1	68874143	68979440	385	3063	2679	384	716	3779
ENST00000194130	-	ENSG00000081800	SLC13A1	123113531	123199986	41	1828	1788	40	1987	3815
ENST00000194152	+	ENSG00000081818	PCDHB4	141121799	141125623	201	2588	2388	200	1237	3825
ENST00000194155	+	ENSG00000112852	PCDHB2	141094578	141098703	214	2610	2397	213	1516	4126
ENST00000194214	-	ENSG00000081870	HSPB11	53921561	53945929	391	825	435	390	90	915
ENST00000194530	+	ENSG00000082146	STRADB	201451669	201480846	366	1622	1257	365	671	2293
ENST00000194900	+	ENSG00000082458	DLG3	70444861	70505490	342	2891	2550	341	3221	6112
ENST00000196061	+	ENSG00000083444	PLOD1	11934753	11975537	28	2211	2184	27	729	2940
ENST00000196169	+	ENSG00000083544	TDRD3	60396457	60573878	789	2744	1956	788	275	3019
ENST00000196371	-	ENSG00000083720	OXCT1	41730065	41870519	162	1724	1563	161	1664	3388
ENST00000196489	-	ENSG00000083817	ZNF416	57571566	57578927	224	2008	1785	223	553	2561
ENST00000197268	+	ENSG00000084444	FAM234B	13044284	13083449	121	1989	1869	120	2819	4808
ENST00000198536	+	ENSG00000085514	PILRA	100373445	100400099	213	1124	912	212	192	1316
ENST00000198767	-	ENSG00000085721	RRN3	15060022	15094317	85	2040	1956	84	1722	3762
ENST00000199280	+	ENSG00000167580	AQP2	49950746	49958881	86	901	816	85	3273	4174
ENST00000199320	-	ENSG00000086189	DIMT1	62387254	62403933	162	1103	942	161	1756	2859
ENST00000199389	-	ENSG00000086232	EIF2AK1	6022244	6059230	148	2040	1893	147	2429	4469
ENST00000199447	+	ENSG00000086288	NME8	37848597	37900401	373	2139	1767	372	173	2312
ENST00000199448	+	ENSG00000086289	EPDR1	37920561	37951941	380	1054	675	379	1545	2599
ENST00000199706	-	ENSG00000086504	MRPL28	367384	370527	37	807	771	36	291	1098
ENST00000199708	+	ENSG00000086506	HBQ1	180453	181181	35	463	429	34	73	536
ENST00000199764	+	ENSG00000086548	CEACAM6	41755421	41772208	219	1253	1035	218	1447	2700
ENST00000199814	-	ENSG00000086589	RBM22	150690794	150701107	123	1385	1263	122	957	2342
ENST00000200135	-	ENSG00000086827	ZW10	113733187	113773811	146	2485	2340	145	507	2992
ENST00000200181	+	ENSG00000132470	ITGB4	75721436	75757818	188	5656	5469	187	263	5919
ENST00000200453	+	ENSG00000087074	PPP1R15A	48872392	48876057	270	2294	2025	269	84	2378
ENST00000200457	+	ENSG00000087077	TRIP6	100867138	100873454	361	1791	1431	360	151	1942
ENST00000200557	+	ENSG00000073670	ADAM11	44759031	44781846	170	2479	2310	169	2092	4571
ENST00000200652	+	ENSG00000197208	SLC22A4	132294443	132344206	175	1830	1656	174	371	2201
ENST00000200676	+	ENSG00000087237	CETP	56961850	56983845	131	1612	1482	130	179	1791
ENST00000201031	+	ENSG00000087510	TFAP2C	56629302	56639283	244	1596	1353	243	1270	2866
ENST00000201647	+	ENSG00000131037	EPS8L1	55075901	55087922	57	2228	2172	56	308	2536
ENST00000201979	+	ENSG00000088320	REM1	31475293	31484905	294	1190	897	293	475	1665
ENST00000202017	-	ENSG00000088356	PDRG1	31944342	31952092	132	533	402	131	1465	1998
ENST00000202556	-	ENSG00000088808	PPP1R13B	103733752	103847590	284	3556	3273	283	1402	4958
ENST00000202625	+	ENSG00000166948	TGM6	2380908	2432753	62	2182	2121	61	110	2292
ENST00000202816	-	ENSG00000089048	ESF1	13714322	13784886	109	2664	2556	108	552	3216
ENST00000202967	+	ENSG00000089163	SIRT4	120302321	120313249	60	1004	945	59	213	1217
ENST00000203001	-	ENSG00000089195	TRMT6	5937833	5950536	132	1625	1494	131	702	2327
ENST00000203166	+	ENSG00000249115	HAUS5	35612770	35625349	26	1927	1902	25	2356	4283
ENST00000203407	-	ENSG00000010256	UQCRC1	48599003	48610037	418	1860	1443	417	125	1985
ENST00000203556	-	ENSG00000089639	GMIP	19629476	19643667	139	3051	2913	138	487	3538
ENST00000203629	+	ENSG00000089692	LAG3	6772520	6778453	334	1911	1578	333	63	1974
ENST00000203630	-	ENSG00000089693	MLF2	6747996	6753555	646	1392	747	645	577	1969
ENST00000203664	+	ENSG00000089723	OTUB2	94026329	94048930	210	914	705	209	3008	3922
ENST00000204005	+	ENSG00000090006	LTBP4	40593166	40629818	1	4764	4764	0	268	5032
ENST00000204517	-	ENSG00000090447	TFAP4	4257186	4273075	330	1346	1017	329	869	2215
ENST00000204549	-	ENSG00000090470	PDCD7	65117379	65133836	56	1513	1458	55	1338	2851
ENST00000204604	+	ENSG00000090539	CHRD	184380073	184389829	247	3114	2868	246	407	3521
ENST00000204615	-	ENSG00000090534	THPO	184371935	184378144	216	1277	1062	215	578	1855
ENST00000204679	+	ENSG00000090581	GNPTG	1351923	1364113	44	961	918	43	1022	1983
ENST00000204726	-	ENSG00000090615	GOLGA3	132768909	132828702	560	5056	4497	559	4196	9252
ENST00000204961	+	ENSG00000090776	EFNB1	68828997	68842147	781	1821	1041	780	1493	3314
ENST00000205061	-	ENSG00000090863	GLG1	74447427	74607114	21	3632	3612	20	4629	8261
ENST00000205143	+	ENSG00000090932	DLL3	39498968	39508481	8	1864	1857	7	468	2332
ENST00000205194	+	ENSG00000090971	NAT14	55485004	55487568	304	924	621	303	612	1536
ENST00000205214	-	ENSG00000157426	AASDH	56338290	56387500	182	3478	3297	181	112	3590
ENST00000205402	+	ENSG00000091140	DLD	107890970	107921203	282	1811	1530	281	1944	3755
ENST00000205557	-	ENSG00000091262	ABCC6	16148928	16223464	31	4542	4512	30	1205	5747
ENST00000205636	-	ENSG00000091317	CMTM6	32481312	32503408	664	1215	552	663	2648	3863
ENST00000205890	+	ENSG00000091536	MYO15A	18108706	18179802	339	10931	10593	338	932	11863
ENST00000205948	-	ENSG00000091583	APOH	66212033	66229417	39	1076	1038	38	100	1176
ENST00000206423	-	ENSG00000091986	CCDC80	112596794	112641269	955	3807	2853	954	8623	12430
ENST00000206474	-	ENSG00000092036	HAUS4	22946228	22957154	254	1345	1092	253	297	1642
ENST00000206513	-	ENSG00000092067	CEBPE	23117304	23119616	526	1371	846	525	183	1554
ENST00000206542	-	ENSG00000092094	OSGEP	20446668	20455105	423	1430	1008	422	572	2002
ENST00000206595	+	ENSG00000092140	G2E3	30559123	30620063	155	2275	2121	154	3529	5804
ENST00000206765	-	ENSG00000092295	TGM1	24249114	24263210	125	2578	2454	124	199	2777
ENST00000207457	+	ENSG00000092850	TEKT2	36084075	36088275	128	1420	1293	127	89	1509
ENST00000207549	-	ENSG00000092929	UNC13D	75827225	75844717	381	3653	3273	380	740	4393
ENST00000207870	+	ENSG00000093217	XYLB	38346779	38414976	91	1701	1611	90	1963	3664
ENST00000209540	+	ENSG00000094661	OR1I1	15086980	15088221	87	1154	1068	86	88	1242
ENST00000209668	-	ENSG00000187758	ADH1A	99276367	99291028	115	1242	1128	114	257	1499
ENST00000209718	-	ENSG00000108244	KRT23	40922696	40937420	426	1694	1269	425	293	1987
ENST00000209728	+	ENSG00000094804	CDC6	40287633	40304657	472	2154	1683	471	2656	4810
ENST00000209873	-	ENSG00000094914	AAAS	53307456	53321631	167	1807	1641	166	33	1840
ENST00000209875	-	ENSG00000094916	CBX5	54230940	54280102	138	713	576	137	10815	11528
ENST00000209884	+	ENSG00000076321	KLHL20	173714984	173786702	137	1966	1830	136	1455	3421
ENST00000209929	+	ENSG00000094963	FMO2	171185208	171211230	159	1766	1608	158	2085	3851
ENST00000210060	-	ENSG00000095059	DHPS	12675721	12681902	137	1246	1110	136	117	1363
ENST00000210187	+	ENSG00000167964	RAB26	2148624	2154165	161	931	771	160	744	1675
ENST00000210313	-	ENSG00000095261	PSMD5	120816053	120842984	76	1590	1515	75	1853	3443
ENST00000210633	+	ENSG00000095539	SEMA4G	100972835	100985615	79	2610	2532	78	1484	4094
ENST00000211076	+	ENSG00000095917	TPSD1	1256133	1258998	149	877	729	148	622	1499
ENST00000211122	-	ENSG00000174156	GSTA3	52896639	52909685	67	735	669	66	167	902
ENST00000211314	+	ENSG00000096092	TMEM14A	52671109	52686588	154	453	300	153	539	992
ENST00000211413	-	ENSG00000204314	PRRT1	32148359	32151952	126	1046	921	125	863	1909
ENST00000211936	-	ENSG00000096654	ZNF184	27450743	27473118	286	2541	2256	285	560	3101
ENST00000212015	+	ENSG00000096717	SIRT1	67884669	67918390	54	2297	2244	53	1797	4094
ENST00000212355	-	ENSG00000069702	TGFBR3	91680345	91886279	516	3071	2556	515	3394	6465
ENST00000214869	-	ENSG00000099203	TMED1	10832438	10836290	100	783	684	99	557	1340
